ISO3,year,D_pend
TGO,2012,0.0
THA,2012,0.0
TJK,2012,0.0
TKM,2012,0.0
TON,2012,0.0
TTO,2012,0.0
TUN,2012,0.0
TUR,2012,0.0
TUV,2012,0.0
TWN,2012,0.0
TZA,2012,0.0
UGA,2012,0.0
UKR,2012,0.0
URY,2012,0.0
USA,2012,0.0
UZB,2012,0.0
VCT,2012,0.0
VEN,2012,0.0
VNM,2012,0.0
VUT,2012,0.0
WLF,2012,0.0
WSM,2012,0.0
XKX,2012,0.0
YEM,2012,0.0
YUG,2012,0.0
ZAF,2012,0.0
ZMB,2012,0.0
ZWE,2012,0.0
ABW,2013,0.0
AFG,2013,0.0
AGO,2013,0.0
AIA,2013,0.0
ALB,2013,0.0
AND,2013,0.0
ARE,2013,2.2453150450019166e-12
ARG,2013,0.0
ARM,2013,0.0
ATG,2013,0.0
AUS,2013,0.0
AUT,2013,0.0
AZE,2013,0.0
BDI,2013,0.0
BEL,2013,0.0
BEN,2013,0.0
BFA,2013,0.0
BGD,2013,0.0
BGR,2013,0.0
BHR,2013,0.0
BHS,2013,0.0
BIH,2013,0.0
BLR,2013,0.0
BLZ,2013,0.0
BMU,2013,0.0
BOL,2013,0.0
BRA,2013,0.0
BRB,2013,0.0
BRN,2013,0.0
BTN,2013,0.0
BWA,2013,0.0
CAF,2013,0.0
CAN,2013,0.0
CHE,2013,0.0
CHL,2013,0.0
CHN,2013,0.9999999999989999
CIV,2013,0.0
CMR,2013,0.0
COD,2013,0.0
COG,2013,0.0
COK,2013,0.0
COL,2013,0.0
COM,2013,0.0
CPV,2013,0.0
CRI,2013,0.0
CUB,2013,0.0
CYM,2013,0.0
CYP,2013,0.0
CZE,2013,0.0
DEU,2013,0.0
DJI,2013,0.0
DMA,2013,0.0
DNK,2013,0.0
DOM,2013,0.0
DZA,2013,0.0
ECU,2013,0.0
EGY,2013,0.0
ERI,2013,0.0
ESH,2013,0.0
ESP,2013,0.0
EST,2013,0.0
ETH,2013,0.0
FIN,2013,0.0
FJI,2013,0.0
FRA,2013,0.0
FRO,2013,0.0
FSM,2013,0.0
GAB,2013,0.0
GBR,2013,0.0
GEO,2013,0.0
GHA,2013,0.0
GIN,2013,0.0
GMB,2013,0.0
GNB,2013,0.0
GNQ,2013,0.0
GRC,2013,0.0
GRD,2013,0.0
GRL,2013,0.0
GTM,2013,0.0
GUY,2013,0.0
HKG,2013,1.000088900582341e-12
HND,2013,0.0
HRV,2013,0.0
HTI,2013,0.0
HUN,2013,0.0
IDN,2013,0.0
IND,2013,0.0
IRL,2013,0.0
IRN,2013,0.0
IRQ,2013,0.0
ISL,2013,0.0
ISR,2013,3.0730973321624333e-13
ITA,2013,0.0
JAM,2013,0.0
JOR,2013,0.0
JPN,2013,0.0
KAZ,2013,0.0
KEN,2013,0.0
KGZ,2013,0.0
KHM,2013,0.0
KIR,2013,0.0
KNA,2013,0.0
KOR,2013,0.0
KWT,2013,2.2453150450019166e-12
LAO,2013,0.0
LBN,2013,0.0
LBR,2013,0.0
LBY,2013,0.0
LCA,2013,0.0
LIE,2013,0.0
LKA,2013,0.0
LSO,2013,0.0
LTU,2013,0.0
LUX,2013,0.0
LVA,2013,0.0
MAC,2013,0.0
MAR,2013,0.0
MCO,2013,0.0
MDA,2013,0.0
MDG,2013,0.0
MDV,2013,0.0
MEX,2013,0.0
MHL,2013,0.0
MKD,2013,0.0
MLI,2013,0.0
MLT,2013,0.0
MMR,2013,0.0
MNE,2013,0.0
MNG,2013,0.0
MOZ,2013,0.0
MRT,2013,0.0
MSR,2013,0.0
MUS,2013,0.0
MWI,2013,0.0
MYS,2013,0.0
NAM,2013,0.0
NCL,2013,0.0
NER,2013,0.0
NGA,2013,0.0
NIC,2013,0.0
NIU,2013,0.0
NLD,2013,0.0
NOR,2013,0.0
NPL,2013,0.0
NRU,2013,0.0
NZL,2013,0.0
OMN,2013,0.0
PAK,2013,0.0
PAN,2013,0.0
PCN,2013,0.0
PER,2013,0.0
PHL,2013,0.0
PNG,2013,0.0
POL,2013,0.0
PRK,2013,0.0
PRT,2013,0.0
PRY,2013,0.0
PSE,2013,0.0
PYF,2013,0.0
QAT,2013,2.2453150450019166e-12
ROU,2013,0.0
RUS,2013,0.0
RWA,2013,0.0
SAU,2013,2.2453150450019166e-12
SDN,2013,0.0
SEN,2013,0.0
SGP,2013,0.0
SLB,2013,0.0
SLE,2013,0.0
SLV,2013,0.0
SMR,2013,0.0
SOM,2013,0.0
SPM,2013,0.0
SRB,2013,0.0
STP,2013,0.0
SUR,2013,0.0
SVK,2013,0.0
SVN,2013,0.0
SWE,2013,0.0
SWZ,2013,0.0
SYC,2013,1.0582645870726992e-12
SYR,2013,0.0
TCA,2013,0.0
TCD,2013,0.0
TGO,2013,0.0
THA,2013,0.0
TJK,2013,0.0
TKM,2013,0.0
TON,2013,0.0
TTO,2013,0.0
TUN,2013,0.0
TUR,2013,0.0
TUV,2013,0.0
TWN,2013,1.000088900582341e-12
TZA,2013,0.0
UGA,2013,0.0
UKR,2013,0.0
URY,2013,0.0
USA,2013,0.0
UZB,2013,0.0
VCT,2013,0.0
VEN,2013,0.0
VNM,2013,0.0
VUT,2013,0.0
WLF,2013,0.0
WSM,2013,0.0
XKX,2013,2.476241434123949e-12
YEM,2013,0.0
YUG,2013,0.0
ZAF,2013,0.0
ZMB,2013,0.0
ZWE,2013,0.0
ABW,2014,0.0
AFG,2014,0.0
AGO,2014,0.0
AIA,2014,0.0
ALB,2014,0.0
AND,2014,0.0
ARE,2014,0.0
ARG,2014,0.0
ARM,2014,3.0000000000010583
ATG,2014,0.0
AUS,2014,0.0
AUT,2014,0.0
AZE,2014,0.0
BDI,2014,0.0
BEL,2014,0.0
BEN,2014,0.0
BFA,2014,0.0
BGD,2014,0.0
BGR,2014,0.0
BHR,2014,0.0
BHS,2014,0.0
BIH,2014,0.0
BLR,2014,2.000177801164682e-12
BLZ,2014,0.0
BMU,2014,0.0
BOL,2014,0.0
BRA,2014,0.0
BRB,2014,0.0
BRN,2014,0.0
BTN,2014,0.0
BWA,2014,0.0
CAF,2014,0.0
CAN,2014,0.0
CHE,2014,0.0
CHL,2014,0.0
CHN,2014,0.0
CIV,2014,0.0
CMR,2014,0.0
COD,2014,0.0
COG,2014,0.0
COK,2014,0.0
COL,2014,0.0
COM,2014,0.0
CPV,2014,0.0
CRI,2014,0.0
CUB,2014,0.0
CYM,2014,0.0
CYP,2014,0.0
CZE,2014,0.0
DEU,2014,0.0
DJI,2014,0.0
DMA,2014,0.0
DNK,2014,0.0
DOM,2014,0.0
DZA,2014,0.0
ECU,2014,0.0
EGY,2014,0.0
ERI,2014,0.0
ESH,2014,0.0
ESP,2014,0.0
EST,2014,0.0
ETH,2014,0.0
FIN,2014,0.0
FJI,2014,0.0
FRA,2014,0.0
FRO,2014,0.9999999999990141
FSM,2014,0.0
GAB,2014,0.0
GBR,2014,0.0
GEO,2014,1.000000000001
GHA,2014,0.0
GIN,2014,0.0
GMB,2014,0.0
GNB,2014,0.0
GNQ,2014,0.0
GRC,2014,0.0
GRD,2014,0.0
GRL,2014,0.0
GTM,2014,0.0
GUY,2014,0.0
HKG,2014,0.0
HND,2014,0.0
HRV,2014,0.0
HTI,2014,0.0
HUN,2014,0.0
IDN,2014,0.0
IND,2014,0.0
IRL,2014,0.0
IRN,2014,0.0
IRQ,2014,0.0
ISL,2014,0.0
ISR,2014,3.0730973321624333e-13
ITA,2014,0.0
JAM,2014,0.0
JOR,2014,0.0
JPN,2014,0.0
KAZ,2014,2.000177801164682e-12
KEN,2014,0.0
KGZ,2014,1.0000000000013598
KHM,2014,0.0
KIR,2014,0.0
KNA,2014,0.0
KOR,2014,0.0
KWT,2014,0.0
LAO,2014,0.0
LBN,2014,0.0
LBR,2014,0.0
LBY,2014,0.0
LCA,2014,0.0
LIE,2014,0.0
LKA,2014,0.0
LSO,2014,0.0
LTU,2014,0.0
LUX,2014,0.0
LVA,2014,0.0
MAC,2014,0.0
MAR,2014,0.0
MCO,2014,0.0
MDA,2014,1.4921397450962104e-12
MDG,2014,0.0
MDV,2014,0.0
MEX,2014,0.0
MHL,2014,0.0
MKD,2014,0.0
MLI,2014,0.0
MLT,2014,0.0
MMR,2014,0.0
MNE,2014,0.0
MNG,2014,0.0
MOZ,2014,0.0
MRT,2014,0.0
MSR,2014,0.0
MUS,2014,0.0
MWI,2014,0.0
MYS,2014,0.0
NAM,2014,0.0
NCL,2014,0.0
NER,2014,0.0
NGA,2014,0.0
NIC,2014,0.0
NIU,2014,0.0
NLD,2014,0.0
NOR,2014,0.0
NPL,2014,0.0
NRU,2014,0.0
NZL,2014,0.0
OMN,2014,0.0
PAK,2014,0.0
PAN,2014,0.0
PCN,2014,0.0
PER,2014,0.0
PHL,2014,0.0
PNG,2014,0.0
POL,2014,0.0
PRK,2014,0.0
PRT,2014,0.0
PRY,2014,0.0
PSE,2014,0.0
PYF,2014,0.0
QAT,2014,0.0
ROU,2014,0.0
RUS,2014,1.000088900582341e-12
RWA,2014,0.0
SAU,2014,0.0
SDN,2014,0.0
SEN,2014,0.0
SGP,2014,0.0
SLB,2014,0.0
SLE,2014,0.0
SLV,2014,0.0
SMR,2014,0.0
SOM,2014,0.0
SPM,2014,0.0
SRB,2014,0.0
STP,2014,0.0
SUR,2014,0.0
SVK,2014,0.0
SVN,2014,0.0
SWE,2014,0.0
SWZ,2014,0.0
SYC,2014,1.0582645870726992e-12
SYR,2014,0.0
TCA,2014,0.0
TCD,2014,0.0
TGO,2014,0.0
THA,2014,0.0
TJK,2014,0.0
TKM,2014,0.0
