ISO3,year,kaopen,ka_open,P_ka,P_strat,P_manuf,P_total,P_select,P_screen,P_interp
AUT,1988,1.0219685,0.7017058,0.2982942,,,,,,
AUT,1989,1.0219685,0.7017058,0.2982942,,,,,,
AUT,1990,1.0219685,0.7017058,0.2982942,,,,,,
AUT,1991,1.2737408,0.76136464,0.23863536,,,,,,
AUT,1992,1.5255132,0.82102346,0.17897654,,,,,,
AUT,1993,1.7772856,0.8806823,0.11931771,,,,,,
AUT,1994,2.029058,0.9403412,0.059658825,,,,,,
AUT,1995,2.2808304,1.0,0.0,,,,,,
AUT,1996,2.2808304,1.0,0.0,,,,,,
AUT,1997,2.2808304,1.0,0.0,0.41,0.0,0.158,0.41,0.009,0.0
AUT,1998,2.2808304,1.0,0.0,0.41,0.0,0.1565,0.41,0.009,1.0
AUT,1999,2.2808304,1.0,0.0,0.41,0.0,0.155,0.41,0.009,1.0
AUT,2000,2.2808304,1.0,0.0,0.41,0.0,0.1535,0.41,0.009,1.0
AUT,2001,2.2808304,1.0,0.0,0.41,0.0,0.152,0.41,0.009,1.0
AUT,2002,2.2808304,1.0,0.0,0.41,0.0,0.1505,0.41,0.009,1.0
AUT,2003,2.2808304,1.0,0.0,0.41,0.0,0.149,0.41,0.009,0.0
AUT,2004,2.2808304,1.0,0.0,0.41,0.0,0.149,0.41,0.009,1.0
AUT,2005,2.2808304,1.0,0.0,0.41,0.0,0.149,0.41,0.009,1.0
AUT,2006,2.2808304,1.0,0.0,0.41,0.0,0.149,0.41,0.009,0.0
AUT,2007,2.2808304,1.0,0.0,0.36669999999999997,0.0,0.13824999999999998,0.36669999999999997,0.009,1.0
AUT,2008,2.2808304,1.0,0.0,0.32339999999999997,0.0,0.1275,0.32339999999999997,0.009,1.0
AUT,2009,2.2808304,1.0,0.0,0.2801,0.0,0.11674999999999999,0.2801,0.009,1.0
AUT,2010,2.2808304,1.0,0.0,0.23679999999999998,0.0,0.106,0.23679999999999998,0.009,0.0
AUT,2011,2.2808304,1.0,0.0,0.23679999999999998,0.0,0.106,0.23679999999999998,0.009,0.0
AUT,2012,2.2808304,1.0,0.0,0.23679999999999998,0.0,0.106,0.23679999999999998,0.009,0.0
AUT,2013,2.2808304,1.0,0.0,0.23679999999999998,0.0,0.106,0.23679999999999998,0.009,0.0
AUT,2014,2.2808304,1.0,0.0,0.23679999999999998,0.0,0.106,0.23679999999999998,0.009,0.0
AUT,2015,2.2808304,1.0,0.0,0.23679999999999998,0.0,0.106,0.23679999999999998,0.009,0.0
AUT,2016,2.2808304,1.0,0.0,0.23679999999999998,0.0,0.106,0.23679999999999998,0.009,0.0
AUT,2017,2.2808304,1.0,0.0,0.23679999999999998,0.0,0.106,0.23679999999999998,0.009,0.0
AUT,2018,2.2808304,1.0,0.0,0.23679999999999998,0.0,0.106,0.23679999999999998,0.009,0.0
AUT,2019,2.2808304,1.0,0.0,0.23679999999999998,0.0,0.106,0.23679999999999998,0.009,0.0
AUT,2020,2.2808304,1.0,0.0,0.23679999999999998,0.0,0.106,0.23679999999999998,0.009,0.0
AUT,2021,2.2808304,1.0,0.0,,,,,,
AUT,2022,2.2808304,1.0,0.0,,,,,,
AUT,2023,2.2808304,1.0,0.0,,,,,,
AZE,1970,,,,,,,,,
AZE,1971,,,,,,,,,
AZE,1972,,,,,,,,,
AZE,1973,,,,,,,,,
AZE,1974,,,,,,,,,
AZE,1975,,,,,,,,,
AZE,1976,,,,,,,,,
AZE,1977,,,,,,,,,
AZE,1978,,,,,,,,,
AZE,1979,,,,,,,,,
AZE,1980,,,,,,,,,
AZE,1981,,,,,,,,,
AZE,1982,,,,,,,,,
AZE,1983,,,,,,,,,
AZE,1984,,,,,,,,,
AZE,1985,,,,,,,,,
AZE,1986,,,,,,,,,
AZE,1987,,,,,,,,,
AZE,1988,,,,,,,,,
AZE,1989,,,,,,,,,
AZE,1990,,,,,,,,,
AZE,1991,,,,,,,,,
AZE,1992,,,,,,,,,
AZE,1993,,,,,,,,,
AZE,1994,,,,,,,,,
AZE,1995,,,,,,,,,
AZE,1996,-1.2538762,0.16243199,0.83756804,,,,,,
AZE,1997,-1.2538762,0.16243199,0.83756804,,,,,,1.0
AZE,1998,-1.2538762,0.16243199,0.83756804,,,,,,1.0
AZE,1999,-1.2538762,0.16243199,0.83756804,,,,,,1.0
AZE,2000,-1.2538762,0.16243199,0.83756804,,,,,,1.0
AZE,2001,-1.2538762,0.16243199,0.83756804,,,,,,1.0
AZE,2002,-0.17476626,0.41813296,0.58186704,,,,,,1.0
AZE,2003,-0.17476626,0.41813296,0.58186704,,,,,,1.0
AZE,2004,-1.2538762,0.16243199,0.83756804,,,,,,1.0
AZE,2005,-1.2538762,0.16243199,0.83756804,,,,,,1.0
AZE,2006,-1.2538762,0.16243199,0.83756804,,,,,,1.0
AZE,2007,-1.2538762,0.16243199,0.83756804,,,,,,1.0
AZE,2008,0.19463086,0.50566363,0.49433637,,,,,,1.0
AZE,2009,-0.75033146,0.28174967,0.71825033,,,,,,1.0
AZE,2010,-0.49855903,0.34140852,0.6585915,,,,,,1.0
AZE,2011,-0.24678667,0.40106735,0.5989326,,,,,,1.0
AZE,2012,0.004985706,0.46072617,0.53927386,,,,,,1.0
AZE,2013,0.004985706,0.46072617,0.53927386,,,,,,1.0
AZE,2014,0.004985706,0.46072617,0.53927386,,,,,,1.0
AZE,2015,0.004985706,0.46072617,0.53927386,,,,,,1.0
AZE,2016,0.004985706,0.46072617,0.53927386,,,,,,1.0
AZE,2017,0.004985706,0.46072617,0.53927386,,,,,,1.0
AZE,2018,0.004985706,0.46072617,0.53927386,,,,,,1.0
AZE,2019,0.004985706,0.46072617,0.53927386,0.1532,0.01,0.077,0.1432,0.0,0.0
AZE,2020,0.004985706,0.46072617,0.53927386,0.1532,0.01,0.077,0.1432,0.0,0.0
AZE,2021,0.004985706,0.46072617,0.53927386,,,,,,
AZE,2022,0.004985706,0.46072617,0.53927386,,,,,,
AZE,2023,-0.24678667,0.40106735,0.5989326,,,,,,
BDI,1970,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1971,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1972,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1973,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1974,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1975,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1976,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1977,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1978,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1979,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1980,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1981,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1982,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1983,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1984,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1985,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1986,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1987,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1988,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1989,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1990,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1991,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1992,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1993,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1994,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1995,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1996,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1997,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1998,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,1999,-1.9393721,0.0,1.0,,,,,,
BDI,2000,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,2001,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,2002,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,2003,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,2004,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,2005,-1.2538762,0.16243199,0.83756804,,,,,,
BDI,2006,-1.9393721,0.0,1.0,,,,,,
BDI,2007,-1.9393721,0.0,1.0,,,,,,
BDI,2008,-1.9393721,0.0,1.0,,,,,,
BDI,2009,-1.9393721,0.0,1.0,,,,,,
BDI,2010,-1.9393721,0.0,1.0,,,,,,
BDI,2011,-1.9393721,0.0,1.0,,,,,,
BDI,2012,-1.9393721,0.0,1.0,,,,,,
BDI,2013,-1.9393721,0.0,1.0,,,,,,
BDI,2014,-1.9393721,0.0,1.0,,,,,,
BDI,2015,-1.9393721,0.0,1.0,,,,,,
BDI,2016,-1.9393721,0.0,1.0,,,,,,
BDI,2017,-1.9393721,0.0,1.0,,,,,,
BDI,2018,-1.9393721,0.0,1.0,,,,,,
BDI,2019,-1.9393721,0.0,1.0,,,,,,
BDI,2020,-1.9393721,0.0,1.0,,,,,,
BDI,2021,-1.9393721,0.0,1.0,,,,,,
BDI,2022,-1.9393721,0.0,1.0,,,,,,
BDI,2023,-1.6875997,0.059658844,0.9403412,,,,,,
BEL,1970,1.5953345,0.83756804,0.16243196,,,,,,
BEL,1971,1.5953345,0.83756804,0.16243196,,,,,,
BEL,1972,1.5953345,0.83756804,0.16243196,,,,,,
BEL,1973,1.5953345,0.83756804,0.16243196,,,,,,
BEL,1974,1.5953345,0.83756804,0.16243196,,,,,,
BEL,1975,1.5953345,0.83756804,0.16243196,,,,,,
BEL,1976,1.5953345,0.83756804,0.16243196,,,,,,
BEL,1977,0.39859986,0.5539952,0.4460048,,,,,,
BEL,1978,0.39859986,0.5539952,0.4460048,,,,,,
BEL,1979,0.39859986,0.5539952,0.4460048,,,,,,
BEL,1980,0.39859986,0.5539952,0.4460048,,,,,,
BEL,1981,0.39859986,0.5539952,0.4460048,,,,,,
BEL,1982,0.39859986,0.5539952,0.4460048,,,,,,
BEL,1983,0.39859986,0.5539952,0.4460048,,,,,,
