number,standards,investments,services,procurement,competition,iprs,source,base
340,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,DESTA,340
340+1,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,DESTA,340
341,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,341
341+1,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,341
341+2,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,341
341+3,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,341
341+4,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,341
342,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.8773388773388774,DESTA,342
343a,1.0,1.0,1.0,0.0,1.0,1.0,WB-母协定,293
344,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,DESTA,344
344+1,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,DESTA,344
345,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,345
345+1,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,345
346,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,0.7586206896551724,0.7586206896551724,DESTA,346
347,0.0,1.0,0.0,0.0,1.0,1.0,WB,347
347+1,0.0,1.0,0.0,0.0,1.0,1.0,WB-母协定,347
347+2,0.0,1.0,0.0,0.0,1.0,1.0,WB-母协定,347
347+3,0.0,1.0,0.0,0.0,1.0,1.0,WB-母协定,347
348,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,348
349,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,349
349+1,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,349
35,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,0.0,DESTA,35
350,0.0,0.0,0.0,0.0,0.0,0.0,WB,350
350+1,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,350
350+2,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,350
350+3,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,350
350+4,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,350
350+5,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,350
350+6,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,350
351,0.0,0.0,0.0,0.0,0.0,0.0,WB,351
351+1,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,351
351+2,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,351
351+3,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,351
351+4,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,351
351+5,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,351
351+6,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,351
352,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,352
352+1,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,352
352+2,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,352
353,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,353
354,0.0,1.0,0.0,0.0,1.0,1.0,WB,354
354+1,0.0,1.0,0.0,0.0,1.0,1.0,WB-母协定,354
354+2,0.0,1.0,0.0,0.0,1.0,1.0,WB-母协定,354
354+3,0.0,1.0,0.0,0.0,1.0,1.0,WB-母协定,354
355,1.0,0.0,0.0,0.0,1.0,1.0,WB,355
355+1,1.0,0.0,0.0,0.0,1.0,1.0,WB-母协定,355
355+2,1.0,0.0,0.0,0.0,1.0,1.0,WB-母协定,355
355+3,1.0,0.0,0.0,0.0,1.0,1.0,WB-母协定,355
356a,0.0,0.0,0.0,0.0,0.7586206896551724,0.0,DESTA,357
357,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,357
357+1,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,357
357+2,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,357
357+3,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,357
357+4,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,357
357+5,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,357
358a,0.0,0.0,0.0,0.0,0.7586206896551724,0.0,DESTA,356
359,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,359
359+1,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,359
36,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,36
360,0.0,1.0,0.0,0.0,0.0,0.0,WB,360
363,0.0,0.7586206896551724,0.7586206896551724,0.0,0.0,0.0,DESTA,363
365,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,365
366,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,366
367,0.0,1.0,1.0,0.0,0.0,0.0,WB,367
37,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,37
370,0.0,0.0,0.0,0.0,0.0,0.0,WB,370
371,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,371
372,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,372
373,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,373
374,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,374
375,1.0,1.0,1.0,1.0,1.0,1.0,WB,375
375+1,1.0,1.0,1.0,1.0,1.0,1.0,WB-母协定,375
375+2,1.0,1.0,1.0,1.0,1.0,1.0,WB-母协定,375
375+3,1.0,1.0,1.0,1.0,1.0,1.0,WB-母协定,375
376,1.0,0.0,1.0,0.0,1.0,1.0,WB,376
377,0.8230088495575221,0.8230088495575221,0.0,0.0,0.0,0.8230088495575221,DESTA,377
379,1.0,1.0,1.0,1.0,1.0,1.0,WB,379
380,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,380
382,0.0,0.0,0.0,1.0,1.0,1.0,WB,382
383,0.0,1.0,0.0,0.0,1.0,1.0,WB,383
384,1.0,1.0,1.0,1.0,1.0,1.0,WB,384
385,0.7586206896551724,0.7586206896551724,0.0,0.0,0.0,0.7586206896551724,DESTA,385
386,1.0,1.0,0.0,0.0,1.0,1.0,WB,386
388,0.7586206896551724,0.0,0.0,0.0,0.0,0.7586206896551724,DESTA,388
389,0.0,1.0,0.0,0.0,1.0,1.0,WB,389
39,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,39
390,0.0,1.0,1.0,1.0,0.0,0.0,WB,390
391,0.0,1.0,0.0,0.0,1.0,1.0,WB,391
392,0.5079365079365079,0.0,0.0,0.0,0.0,0.5079365079365079,DESTA,392
393,0.5079365079365079,0.0,0.0,0.0,0.0,0.5079365079365079,DESTA,393
394,0.7586206896551724,0.7586206896551724,0.0,0.7586206896551724,0.0,0.7586206896551724,DESTA,394
395a,1.0,1.0,1.0,1.0,1.0,1.0,WB-母协定,375
396,1.0,1.0,1.0,0.0,1.0,1.0,WB,396
398,0.7586206896551724,0.7586206896551724,0.0,0.0,0.0,0.7586206896551724,DESTA,398
399,0.0,0.0,0.0,0.0,1.0,1.0,WB,399
4,0.0,0.0,0.0,0.0,0.0,0.0,WB,4
40,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,40
400,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,400
401,0.0,1.0,0.0,0.0,1.0,1.0,WB,401
402,0.0,0.0,0.0,1.0,1.0,1.0,WB,402
403,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,403
404,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,404
405,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,405
407,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,407
408,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,408
409,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,409
41,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,41
410,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,410
412,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,412
413,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,413
414,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,414
415,1.0,0.0,0.0,0.0,1.0,1.0,WB,415
416,1.0,1.0,1.0,0.0,1.0,0.0,WB,416
418,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,DESTA,418
419,0.0,0.0,0.0,0.0,0.7586206896551724,0.0,DESTA,419
421,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,421
422,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,422
424,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,424
425,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,425
426,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,426
427,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,427
