ISO3,year,gP,gN,gS,gP_noCN,sCN
CMR,2019,0.031040811316822,0.009558167087800816,0.02148264422902118,0.022583746505877134,0.14626647484474753
CMR,2020,-0.0393920842374026,-0.03646795511190852,-0.002924129125494077,-0.043489623491511635,0.18438167814942355
CMR,2021,0.06442030226133139,0.030941710847950436,0.03347859141338096,0.04686897687126428,0.21608162918902468
CMR,2022,0.045257533940389026,0.01932852404359573,0.025929009896793295,0.038034315828520446,0.21963170022390913
CMR,2023,0.029147383471298006,0.004822584901090158,0.02432479857020785,0.02078137202145379,0.1748162769067323
COD,1991,0.02187513364308748,0.01241721765117852,0.009457915991908964,0.02110424875398412,0.008614135326792423
COD,1992,0.013867463263168973,0.015686469689325647,-0.001819006426156674,0.012946899239184606,0.00688772226244708
COD,1993,0.017536390621065656,0.007297146749153808,0.01023924387191185,0.016694757244742387,0.0064737134879663235
COD,1994,0.03162789393133774,0.022277497745032876,0.009350396186304863,0.03098955508045615,0.005124331674383278
COD,1995,0.03720409013097145,0.01995966993179376,0.017244420199177688,0.036767032640071265,0.004307281128628064
COD,1996,0.03237242747575131,0.020976831202151477,0.011395596273599838,0.032103370953235066,0.0029208671622963198
COD,1997,0.032496998603254716,0.02461871309348077,0.007878285509773948,0.032309405211795,0.002046461710853764
COD,1998,0.02732003666023519,0.024297418871506014,0.0030226177887291705,0.02719697577988351,0.0015934058337771367
COD,1999,0.03454574816743452,0.029267673223917812,0.00527807494351671,0.034429459012126316,0.0016220676136419678
COD,2000,0.03795207985579199,0.03506547752585954,0.0028866023299324492,0.03783933039938665,0.0013360936197021733
COD,2001,0.019649697479478537,0.007931173491782014,0.011718523987696525,0.0195337773145865,0.001489650482390847
COD,2002,0.03205159399784792,0.0058004751256527185,0.026251118872195202,0.03137467048188355,0.007779712715557278
COD,2003,0.04218713466426008,0.00031043471976329687,0.04187669994449679,0.041039105872882196,0.012274961821282222
COD,2004,0.056099886580536704,0.0018896886746020821,0.05421019790593462,0.05304853500396735,0.031218336911786507
COD,2005,0.05996393760938247,0.0018134830994594024,0.05815045450992307,0.05236102259554689,0.07080200714063499
COD,2006,0.07133835635415446,0.002371429599636759,0.0689669267545177,0.0485111233429491,0.19054260764424003
COD,2007,0.08209335974145418,0.0020046593560385795,0.08008870038541561,0.03810196783086166,0.3314486291305598
COD,2008,0.06528293237880395,0.0007634951515369348,0.06451943722726702,0.0233252006996918,0.4450217443846401
COD,2009,0.05327791075251318,-0.0008405971573379103,0.05411850790985109,0.005193531885883011,0.5432660012649141
COD,2010,0.0787245982705763,0.000886182508941014,0.07783841576163528,0.01748436941630139,0.6084865209147358
COD,2011,0.07759032804886243,0.00038576933154108874,0.07720455871732133,0.01351829109015154,0.7007447189621562
COD,2012,0.0652155913097349,0.00022799884968942514,0.06498759246004546,0.008982826792815693,0.7340958419139806
COD,2013,0.06510427283013975,0.000366319549532032,0.06473795328060772,0.010158181592188283,0.7375977220399024
COD,2014,0.05895893109102655,0.0005966380190279819,0.058362293071998556,0.011557837333289083,0.6543756644382338
COD,2015,0.04838797263538465,0.0006682488986976999,0.04771972373668694,0.015919217166021384,0.48071560692541077
COD,2016,0.04238298447509088,0.001293018747763478,0.0410899657273274,0.020153557967740758,0.3368664142050734
COD,2017,0.036975632530819966,0.0019309666486223439,0.03504466588219763,0.01977957335910455,0.25666476439954605
COD,2018,0.039032051816733956,0.003087560464044277,0.03594449135268967,0.0178727595670234,0.32466026355726657
COD,2019,0.029899057832423873,0.00272173443752584,0.027177323394898024,0.008295902692725302,0.37363049928606
COD,2020,-0.019183812262879005,-0.00305378477662992,-0.016130027486249088,-0.028029554245132406,0.3980420076584066
