ISO3,year,gN,gS,gCN,gS_noCN,gTOP,gS_noTOP,top,wTOP
URY,2023,0.003492148397960194,0.025986390110891554,0.01307541547123386,0.012910974639657695,0.01307541547123386,0.012910974639657695,CHN,0.2732240405590593
UZB,1993,-0.004113016004788402,0.05687123722599683,0.010048937844228827,0.046822299381768004,0.042660389067836264,0.014210848158160566,PNG,0.25510426690901733
UZB,1994,0.015260806491440697,0.00726037152867043,0.005750274768651159,0.0015100967600192713,0.008918423192819864,-0.001658051664149434,PNG,0.15450453356090657
UZB,1995,0.012105869642870257,-0.004982491313771254,0.004399750188289242,-0.009382241502060497,-0.0055936470936989,0.0006111557799276463,RUS,0.1308419744399536
UZB,1996,0.0062617863696452425,-0.0025365600060757425,0.002360769028472336,-0.0048973290345480786,-0.008090322809017107,0.005553762802941365,RUS,0.2305505422004428
UZB,1997,0.006863250777155812,0.01600150232629786,0.003483893770440282,0.012517608555857578,0.003632274496048899,0.012369227830248962,RUS,0.3069236127579704
UZB,1998,0.006149778573043755,-0.006238156912725182,0.0030932342763973155,-0.009331391189122497,-0.015025794358189697,0.008787637445464515,RUS,0.2826915783168347
UZB,1999,0.006711793576656734,0.029917669926024675,0.002606032551012442,0.027311637375012233,0.014519465827972908,0.015398204098051767,RUS,0.250995774337698
UZB,2000,0.00892110983495937,0.05461664767919074,0.001762264152053179,0.05285438352713756,0.023651252171620146,0.030965395507570596,RUS,0.24649898057915678
UZB,2001,0.0028037634952952206,0.0379631097497962,0.009325406251470509,0.02863770349832569,0.01010865115152262,0.02785445859827358,RUS,0.20297345908069475
UZB,2002,0.0008100718430219087,0.07008995353952191,0.019941850080539492,0.05014810345898242,0.019941850080539492,0.05014810345898242,CHN,0.2291866968490377
UZB,2003,0.000335086024871493,0.0757691557496006,0.0318719438106157,0.043897211938984895,0.0318719438106157,0.043897211938984895,CHN,0.34078143020768886
UZB,2004,0.000356702738753903,0.07255397669694352,0.03330875559381188,0.039245221103131646,0.03330875559381188,0.039245221103131646,CHN,0.34078143017825324
UZB,2005,0.00038094707711575147,0.08032197568362641,0.03671429100493106,0.04360768467869535,0.03671429100493106,0.04360768467869535,CHN,0.3419011641145635
UZB,2006,0.00041765878940676506,0.08467895463471783,0.041094315134243935,0.0435846395004739,0.041094315134243935,0.0435846395004739,CHN,0.3430208979419156
UZB,2007,0.0004356738428708902,0.09773543647973831,0.045675933136053164,0.05205950334368515,0.045675933136053164,0.05205950334368515,CHN,0.3441406321712364
UZB,2008,2.261097083034485e-05,0.05470236890061369,0.03244641522926303,0.022255953671350658,0.03244641522926303,0.022255953671350658,CHN,0.34414063216728524
UZB,2009,-0.0006919229373983083,0.0309902526772488,0.030459827208998924,0.0005304254682498774,0.030459827208998924,0.0005304254682498774,CHN,0.3441406318869389
UZB,2010,0.00035352074292957383,0.07569076994923477,0.03463552653582202,0.04105524341341275,0.03463552653582202,0.04105524341341275,CHN,0.3441406316750102
UZB,2011,0.00020943673506507667,0.06181885852039791,0.03146622538499906,0.03035263313539885,0.03146622538499906,0.03035263313539885,CHN,0.3441406315585112
UZB,2012,0.00011305959841990623,0.05324396284109972,0.026361651966466153,0.02688231087463357,0.026361651966466153,0.02688231087463357,CHN,0.3441406315484228
UZB,2013,0.00018193555133195365,0.048402173863772116,0.025636172647859827,0.02276600121591229,0.025636172647859827,0.02276600121591229,CHN,0.34414063167831704
UZB,2014,0.00040890110667720297,0.044451847679648104,0.02492855898563698,0.019523288694011123,0.02492855898563698,0.019523288694011123,CHN,0.34414063171382264
UZB,2015,0.00032087258759091845,0.0303236142209116,0.023244134067771843,0.007079480153139757,0.023244134067771843,0.007079480153139757,CHN,0.34414063164163794
UZB,2016,0.0003018438783694028,0.041489035678806394,0.02270944373272455,0.018779591946081843,0.02270944373272455,0.018779591946081843,CHN,0.3441406316220223
UZB,2017,0.000552921870755822,0.04473452456036704,0.021074574652970208,0.023659949907396834,0.021074574652970208,0.023659949907396834,CHN,0.31455467116688507
UZB,2018,0.000490631063446124,0.03511751470283485,0.01716186501742165,0.0179556496854132,0.01716186501742165,0.0179556496854132,CHN,0.263325235737342
UZB,2019,0.0006509571180670042,0.03288854705366223,0.013377984212921405,0.019510562840740826,0.013377984212921405,0.019510562840740826,CHN,0.23137467136592518
UZB,2020,-0.0027175781575458184,-0.00866891721225672,0.004903084427511502,-0.013572001639768223,0.004903084427511502,-0.013572001639768223,CHN,0.22062971915309934
UZB,2021,0.0025132393823812573,0.044897467767738404,0.01760823614084106,0.027289231626897344,0.01760823614084106,0.027289231626897344,CHN,0.21678228099008845
UZB,2022,0.0014694396429722346,0.020188358433690122,0.006337008887530211,0.013851349546159911,-0.002544937125568586,0.02273329555925871,RUS,0.19341243100975858
UZB,2023,0.0004851622511518593,0.04463601828614902,0.008389909885136977,0.03624610840101204,0.006952015219626823,0.0376840030665222,RUS,0.1943196995248398
VEN,1991,0.003251433639914025,0.0025788880309282,3.396851854223439e-05,0.0025449195123859658,-0.0033803937529525404,0.00595928178388074,CUB,0.029892013616332133
VEN,1992,0.022127223986142374,0.004437553784446864,2.596343123983017e-05,0.004411590353207034,-0.0037537992698311157,0.00819135305427798,CUB,0.03049917754071109
VEN,1993,0.018863043556255493,0.004511588536333193,2.290137524848755e-05,0.004488687161084705,0.0016750376177409173,0.0028365509185922753,COL,0.02930518020376156
VEN,1994,0.02810373358431625,0.010045425357191634,2.6512586532315544e-05,0.010018912770659319,0.002409326757420167,0.007636098599771467,COL,0.04456169007421675
VEN,1995,0.020488497310135776,0.0091135789888788,5.0062576218748276e-05,0.009063516412660053,0.0034932312606741644,0.005620347728204637,COL,0.06810307862624161
VEN,1996,0.02360451886682622,0.008682853788158487,4.115862089798926e-05,0.008641695167260498,0.0013389413362027377,0.00734391245195575,COL,0.08100410653484993
VEN,1997,0.028353700601928086,0.014475374708635743,2.7144816092045256e-05,0.014448229892543699,0.002509400295239828,0.011965974413395915,COL,0.0777846629846934
VEN,1998,0.032294907130196705,0.006030095100606911,1.0943103852073093e-06,0.006029000790221704,0.0003099135723801286,0.005720181528226782,COL,0.0684907826355141
VEN,1999,0.031466768954508006,0.0012169427006608413,1.0158209579624338e-06,0.0012159268797028789,-0.003861716167355773,0.005078658868016615,COL,0.07243199682438844
VEN,2000,0.027698664192298557,0.009931559100175773,1.3614256282741257e-07,0.009931422957612946,0.001799837542174847,0.008131721558000926,COL,0.0696171109495979
VEN,2001,0.006726462690188909,0.0053707915800871925,2.1965206397834544e-05,0.005348826373689358,0.0009454668068163196,0.004425324773270873,COL,0.058685206017621803
VEN,2002,0.01578782511132528,0.0073769854099070276,8.638544514608619e-05,0.007290599964760941,0.0012221550021825922,0.006154830407724436,BRA,0.04102252409191505
VEN,2003,0.019288029513376388,0.009399483843046848,0.000235618627663465,0.009163865215383383,0.0013907299151775104,0.008008753927869337,COL,0.035381794802545254
