变体,检验,b,se,p,N,国家数
剔除 DB 数据违规 4 国,Y1 D_投资×C,0.004069022648751568,0.008862020419006002,0.6462000622280835,1443,106
Driscoll-Kraay 标准误,H1 D,0.004421883768525191,0.002691952316251417,0.10055441776619656,3465,117
Driscoll-Kraay 标准误,H2 D×C,-0.0010440138926035045,0.0012423840171573736,0.4008684565592717,1514,111
Driscoll-Kraay 标准误,H3 D×P,0.006172629416713149,0.0029268762477931234,0.03560984869280892,452,51
Driscoll-Kraay 标准误,H4 S,0.004325074954624302,0.001585178494230587,0.006436400789430197,1677,110
Driscoll-Kraay 标准误,Y1 D_投资×C,0.004417152287604269,0.004409522809924018,0.31665249173105137,1485,109
全样本（含高收入国家）,H1 D,0.005014636661414732,0.002520245084834955,0.04668518963633339,4319,145
全样本（含高收入国家）,H2 D×C,-0.0016378717034882524,0.003038380268115375,0.5899142229418533,1894,139
全样本（含高收入国家）,H3 D×P,0.0015647687896174713,0.005525887823431266,0.7771342156467669,765,75
全样本（含高收入国家）,H4 S,0.004040284642882107,0.0018750612222286104,0.03132121493618234,1872,125
全样本（含高收入国家）,Y1 D_投资×C,0.0052496507544046835,0.008499310428300358,0.5368853838155443,1842,135
加入 EIA 协定数（深度 vs 数量）,H1 D,0.004243609364200194,0.0029272052679460638,0.1472332478990026,3465,117
加入 EIA 协定数（深度 vs 数量）,H2 D×C,-0.0013872511539712372,0.0028341546449266925,0.6245825281808273,1514,111
加入 EIA 协定数（深度 vs 数量）,H3 D×P,0.005695689797723498,0.0057130367514239885,0.3194250340195237,452,51
加入 EIA 协定数（深度 vs 数量）,H4 S,0.004655396279836694,0.0021151897763464845,0.0278900887651381,1677,110
加入 EIA 协定数（深度 vs 数量）,Y1 D_投资×C,0.004417152287604269,0.008746361426370105,0.6136215875252751,1485,109
不控制国家能力,H1 D,0.005319031732120153,0.003032537369917514,0.0795246547658599,3489,118
不控制国家能力,H2 D×C,-0.001358442025338231,0.0027986364053928497,0.6274737576764524,1514,111
不控制国家能力,H3 D×P,0.006439449430085977,0.005877413205451336,0.27394169355896825,452,51
不控制国家能力,H4 S,0.0037732306790415624,0.0019940648601439845,0.05864803975003685,1689,111
不控制国家能力,Y1 D_投资×C,0.0022387196013012606,0.009010366851552027,0.8038157513285955,1485,109
