ISO3,year,D_US,D_EU,D_ON,D_S
JAM,2014,0.0,5.999999999994,0.0,4.507129474255123
KEN,2014,0.0,2.4589774078478,0.0,3.7586206896551726
KNA,2014,0.0,5.999999999994,0.0,4.50753939612502
LBN,2014,0.0,2.4690265486725664,3.999999999996,3.4913033040418435
LCA,2014,0.0,5.999999999994,0.0,4.50753939612502
LIE,2014,0.0,6.0,6.0,0.0
LTU,2014,0.0,6.0,2.3307182387642156,6.0
LUX,2014,0.0,6.0,0.0,0.0
LVA,2014,0.0,6.0,2.7643374080155687,6.0
MCO,2014,0.0,0.0,0.0,0.0
MDG,2014,0.0,0.0,0.0,3.0
MKD,2014,0.0,2.5396825396825395,2.999999999997,5.999999999999853
MLT,2014,0.0,6.0,0.0,6.0
MNE,2014,0.0,2.999999999997,2.999999999997,6.0
MSR,2014,0.0,3.999999999996,0.0,4.50753939612502
MUS,2014,0.0,0.0,0.0,4.999999999999
NCL,2014,0.0,3.999999999996,0.0,0.0
NLD,2014,0.0,6.0,0.0,0.0
NOR,2014,0.0,6.0,6.0,0.0
PAK,2014,0.0,0.0,0.0,4.999999999999
PCN,2014,0.0,3.999999999996,0.0,0.0
PHL,2014,0.0,0.0,4.999999999999,5.507936507935508
PNG,2014,0.0,0.0,0.5079365079365079,1.999999999998
POL,2014,0.0,6.0,0.0,6.0
PRT,2014,0.0,6.0,0.0,0.0
PYF,2014,0.0,3.999999999996,0.0,0.0
ROU,2014,0.0,6.0,0.0,6.0
SMR,2014,0.0,0.0,0.0,0.0
SPM,2014,0.0,3.999999999996,0.0,0.0
SRB,2014,0.0,5.264033264033264,4.517241379308862,5.999999999999
SUR,2014,0.0,5.999999999994,0.0,4.5046034000474915
SVK,2014,0.0,6.0,0.0,6.0
SVN,2014,0.0,6.0,2.275862068965517,6.0
SWE,2014,0.0,6.0,0.0,0.0
SYC,2014,0.0,0.0,0.0,2.9999999999979416
SYR,2014,0.0,0.0,0.0,3.7578735197757895
TCA,2014,0.0,3.999999999996,0.0,0.0
TTO,2014,0.0,5.999999999994,0.0,4.507129474255123
TUN,2014,0.0,2.999999999997,2.999999999997,4.758620689655114
TUR,2014,0.0,3.999999999998,0.0,5.999999999999
TZA,2014,0.0,2.4589774078478,0.0,4.999999999998758
UGA,2014,0.0,2.4589774078478,0.0,3.7586206896551726
URY,2014,0.0,0.0,0.0,6.0
VCT,2014,0.0,5.999999999994,0.0,4.50753939612502
WLF,2014,0.0,3.999999999996,0.0,0.0
ZAF,2014,0.0,2.999999999997,1.999999999998,4.999999999999
ZWE,2014,0.0,0.0,0.0,4.999999999999
ABW,2015,0.0,3.999999999996,0.0,0.0
AIA,2015,0.0,3.999999999996,0.0,0.0
ALB,2015,0.0,3.0476190476190474,5.2920353982289114,5.999999999998996
AND,2015,0.0,0.0,0.0,0.0
ATG,2015,0.0,5.999999999994,0.0,4.50753939612502
AUT,2015,0.0,6.0,0.0,0.0
BEL,2015,0.0,6.0,0.0,0.0
BGR,2015,0.0,6.0,0.0,6.0
BHS,2015,0.0,5.999999999994,0.0,4.507129474255121
BIH,2015,0.0,0.999999999999,2.999999999997,5.999999999998881
