ISO3,year,GeoV,GeoC,n_partners
SLE,1990,3.140477504625032,1.1037114324573452,5.0
SLE,1991,3.0791165155977422,1.1486239053103495,5.0
SLE,1992,3.0835995695081575,1.2524526819763133,6.0
SLE,1993,3.361443089666205,1.1024305695849927,6.0
SLE,1994,2.8562191186642236,0.9962648779653449,6.0
SLE,1995,2.6811363090820235,0.996498687551456,7.0
SLE,1996,2.656741149570916,0.9188447083284588,7.0
SLE,1997,2.518613379066794,0.7243185675455921,4.0
SLE,1998,2.2353167017109574,0.6918080989681812,5.0
SLE,1999,2.2687110654589375,1.2513664846857993,6.0
SLE,2000,0.523354104714428,1.0316951211678491,37.0
SLE,2001,0.9602295708913984,1.288489008780403,46.0
SLE,2002,1.710250201974839,1.4428549811090052,51.0
SLE,2003,0.9239637219943552,1.176192276161438,69.0
SLE,2004,0.594034570804445,1.0312863380308084,80.0
SLE,2005,0.6321456358248656,0.9557088604719295,80.0
SLE,2006,0.9397233758668359,1.0762532110354412,83.0
SLE,2007,0.8631779291302933,1.080661819362194,81.0
SLE,2008,0.9553236068429928,1.063945483341255,85.0
SLE,2009,0.8308552105520722,1.036890326121164,87.0
SLE,2010,0.9784281701383112,1.0578027985972582,89.0
SLE,2011,1.073729925796726,1.0355064746865488,83.0
SLE,2012,0.553061656637029,0.8458102311903651,89.0
SLE,2013,0.6189546105838613,0.9640258219862208,88.0
SLE,2014,0.7441638777864805,0.7324610841388978,96.0
SLE,2015,1.3761797672688667,0.6632694600221962,89.0
SLE,2016,1.312813355734518,1.6309928278337549,100.0
SLE,2017,1.257162482333844,0.8499511969075574,93.0
SLE,2018,1.100654896711701,0.9301546589996027,97.0
SLE,2019,1.1188136508628046,0.9829334258097979,107.0
SLE,2020,1.1982272562872271,1.0031173126013944,99.0
SLE,2021,1.125144188103018,0.9636043814039614,97.0
SLE,2022,1.011187378736304,0.8293685108357202,106.0
SLE,2023,0.6450129904161956,0.7463528753437847,100.0
SLV,1990,1.7220170098538476,1.6797611578799534,49.0
SLV,1991,1.7844370143301376,1.6203105845444497,41.0
SLV,1992,1.46308974911609,1.8801099965397945,38.0
SLV,1993,1.3900240271317494,1.7487864305710956,52.0
SLV,1994,1.933270132698198,1.7597792168667372,39.0
SLV,1995,1.1143491165520172,1.585594146343727,61.0
SLV,1996,1.1406521908351184,1.550579255129767,52.0
SLV,1997,1.2734953098112942,1.5674834873554582,64.0
SLV,1998,1.16057939168947,1.617746025912213,64.0
SLV,1999,1.0992765880514088,1.5396994327837201,54.0
SLV,2000,2.0926499426166463,1.9043500096156214,69.0
SLV,2001,2.090554700739444,1.7616215756702303,62.0
SLV,2002,2.1711103886388834,1.8871871253122916,70.0
SLV,2003,2.055128660226787,2.282345547557461,76.0
SLV,2004,2.0285925808065155,2.3258869498741612,80.0
SLV,2005,1.7060627270269557,2.5244548629894514,95.0
SLV,2006,1.7190425227295048,2.4221780009982123,94.0
SLV,2007,1.6294370106469251,2.4180885082760923,95.0
SLV,2008,1.5478136956397994,2.5326020962217037,98.0
SLV,2009,1.4996380020710465,2.2945432652780315,101.0
SLV,2010,1.485744568512101,2.358984289409364,104.0
SLV,2011,1.4327966999422512,2.2571517234616727,105.0
SLV,2012,1.4525767332011748,2.3856532003355193,103.0
SLV,2013,1.6938856065224417,2.019284482901554,107.0
SLV,2014,1.7673832612278748,1.9507006609405686,111.0
SLV,2015,1.7494825147408994,1.8996651310927202,113.0
SLV,2016,1.8004740007327071,1.7673372519121096,120.0
SLV,2017,1.7603088898770922,1.833217563274198,113.0
SLV,2018,1.8081217973187667,1.8283351145568425,114.0
SLV,2019,1.6130837082976877,1.8796634752813144,114.0
SLV,2020,1.6448686304625766,1.8778188278030532,103.0
SLV,2021,1.618634423696212,1.7645305102535727,105.0
SLV,2022,1.5502043264131764,1.6189543573116598,105.0
SLV,2023,1.299405717560392,1.8766484405807364,111.0
SOM,1990,1.269800779694874,1.1154841433062126,42.0
SOM,1991,0.7178626451932687,0.9589068274323409,46.0
SOM,2002,0.3583588705805983,0.5229949087567461,70.0
SOM,2003,0.2828908773550267,0.44002894787940716,69.0
SOM,2004,0.286653326897522,0.4030345806776846,64.0
SOM,2005,0.33448189360837927,0.30636407528240533,58.0
SOM,2006,0.21382267020099502,0.2816154791065235,66.0
SOM,2007,0.5332835726073887,0.42385466459974214,67.0
SOM,2008,0.35614488368984987,0.34788939403895747,72.0
SOM,2009,0.24080129277896345,0.28348461771461936,64.0
SOM,2010,0.13414618317599433,0.26351845304841665,71.0
SOM,2011,0.1252397747401631,0.2715843766132193,62.0
SOM,2012,0.4855554020820631,0.23988030327822268,66.0
SOM,2013,0.2601225904647585,0.25868072142748677,65.0
SOM,2014,0.5386669287290462,0.37861601787819854,73.0
SOM,2015,0.28611264293608885,0.45955854928673806,78.0
SOM,2016,0.4056046078678633,0.4550774537714888,73.0
SOM,2017,0.34961662351112716,0.5986690686690467,78.0
SOM,2018,0.3991009059087105,0.6403599502451542,88.0
SOM,2019,0.34233607090362517,0.6350833471134836,85.0
SOM,2020,0.27892985095921247,0.6010466366288065,84.0
SOM,2021,0.3535615009763506,0.6798825992448005,99.0
SOM,2022,0.2532290820095244,0.5636201145168055,96.0
SOM,2023,0.14966324408790302,0.3971980396025895,93.0
SVK,1993,0.38220279457924566,0.7005050401199547,145.0
SVK,1994,0.3085342430243425,0.6298290028931107,139.0
SVK,1995,0.2318791840424428,0.6328986266472852,143.0
SVK,1996,0.26843557163197307,0.5965465365242546,144.0
SVK,1997,0.2641703634427133,0.48916762376550277,146.0
SVK,1998,0.16040915560000996,0.4325320215114572,147.0
SVK,1999,0.24059871207899752,0.45101083049695,146.0
SVK,2000,0.1954570259002239,0.4510888719723626,159.0
SVK,2001,0.24308461940698187,0.41427337732625247,154.0
SVK,2002,0.23675088272643258,0.40966078345399526,156.0
SVK,2003,0.31895927018894943,0.5963010824856693,165.0
SVK,2004,0.22186939612540652,0.6228678280781127,160.0
SVK,2005,0.21081951978426802,0.6186871280574372,158.0
SVK,2006,0.21885247991850654,0.6108978637527854,165.0
SVK,2007,0.26109861205672064,0.5593420322645136,164.0
SVK,2008,0.2601109551212871,0.571815575914283,162.0
SVK,2009,0.23578299937279396,0.5058341691885592,159.0
SVK,2010,0.27012724470846655,0.5725915814091771,166.0
SVK,2011,0.2479269132076083,0.5910515134007599,164.0
SVK,2012,0.28500132755297786,0.5888226923561108,165.0
SVK,2013,0.3083295142688524,0.576366430640512,166.0
SVK,2014,0.32004441015575047,0.6023613958191883,168.0
SVK,2015,0.30290515380691957,0.5233395810098371,170.0
SVK,2016,0.29335335231641774,0.5356796290109963,170.0
SVK,2017,0.2988655817264688,0.537839140175799,170.0
SVK,2018,0.3084306441302831,0.5809691222903508,170.0
SVK,2019,0.27900804293114834,0.5685727328562135,169.0
SVK,2020,0.3265325122910957,0.6334198034272818,167.0
SVK,2021,0.2855954731684518,0.589385248436436,169.0
SVK,2022,0.30747306845232447,0.6564762766185837,173.0
SVK,2023,0.3430712946585576,0.6685502545413171,168.0
SVN,1993,0.5495042082709849,0.6004571176728117,135.0
SVN,1994,0.526935192665303,0.5799629073168479,140.0
SVN,1995,0.34704287031819314,0.622109278606746,133.0
SVN,1996,0.32050691493116024,0.5427010641328212,138.0
SVN,1997,0.34970797901846773,0.5386536773037441,135.0
SVN,1998,0.2768666676072603,0.5303194644137774,136.0
SVN,1999,0.31175814238120575,0.5010178149011189,136.0
SVN,2000,0.26308090357453207,0.5395911354800149,148.0
SVN,2001,0.25712928816484604,0.5235888429349136,144.0
SVN,2002,0.2768753024456264,0.5445603675174957,148.0
SVN,2003,0.30800334627143766,0.5985135309970113,146.0
SVN,2004,0.2515040106137604,0.6537194400293156,154.0
SVN,2005,0.25138491110858985,0.6417458853188946,152.0
SVN,2006,0.27883348919716633,0.6715455171673077,158.0
SVN,2007,0.28155662217765,0.6358954981082521,156.0
SVN,2008,0.27702476779273755,0.6694315861598774,158.0
SVN,2009,0.32978257941701167,0.5981233377982726,158.0
SVN,2010,0.31554438026272025,0.6313897673867216,159.0
SVN,2011,0.27195130106389814,0.6266765993734255,162.0
SVN,2012,0.3001083776399366,0.6568467402731862,162.0
SVN,2013,0.3395134951047355,0.6336662691272802,165.0
SVN,2014,0.35420063470211227,0.6529683949827305,166.0
SVN,2015,0.33460306187280325,0.6266178586062544,168.0
SVN,2016,0.33982321653497505,0.640240810174993,172.0
SVN,2017,0.3081646435365577,0.6112775895455377,168.0
SVN,2018,0.32721475525626664,0.641385068538514,172.0
SVN,2019,0.2981349098574448,0.6122775288176318,171.0
SVN,2020,0.3435991080829285,0.6263082016290858,168.0
SVN,2021,0.2898225227750274,0.578440374380449,166.0
SVN,2022,0.37277940511030866,0.6056103040323894,170.0
SVN,2023,0.39030272215764517,0.6000770071643168,171.0
SYR,1990,2.1422947372733216,1.0422348335692904,45.0
SYR,1991,1.9266595854773134,0.992946731093951,47.0
SYR,1992,2.2356568101159535,0.957202102718934,47.0
SYR,1993,2.5873755460497248,0.9201024134902845,45.0
SYR,1994,2.548441119013419,0.9764424372865883,46.0
SYR,1995,2.4937162516922813,0.915720201042572,48.0
SYR,1996,3.046571446951994,0.7886072101110309,27.0
SYR,1997,2.748206384049744,0.884745958272781,28.0
SYR,1998,2.146630153996558,0.9872662778362525,50.0
SYR,1999,2.299037807622055,0.8648988223093572,49.0
SYR,2000,2.4165779213325487,0.8607766243925637,40.0
SYR,2001,2.0694880924349537,0.8510078800483556,45.0
SYR,2002,2.19720517286506,0.940411168769826,47.0
SYR,2003,1.8555360051991507,1.1384819652709923,130.0
SYR,2004,1.4534192291682615,1.1171986743585804,99.0
SYR,2005,1.8856845409245022,1.2074642592420837,124.0
SYR,2006,1.6768866644426825,1.2448221887627096,134.0
SYR,2007,1.7099674725191418,0.9906263606379304,32.0
SYR,2008,1.6664764871669746,0.9640511484114864,38.0
SYR,2009,1.6470834260712925,0.9828196182603955,38.0
SYR,2010,2.1671113160190107,0.9741200674422174,38.0
SYR,2011,1.8870529823292752,0.9659667697464484,39.0
