ISO3,year,D_N,D_S
BFA,1998,0.0,3.389162561574355
BFA,1999,0.0,3.389162561574355
BFA,2000,0.0,3.8812260536383545
BFA,2001,0.0,3.8812260536383545
BFA,2002,0.0,3.8812260536383545
BFA,2003,0.0,3.8812260536383545
BFA,2004,0.0,3.8812260536383545
BFA,2005,0.0,3.8812260536383545
BFA,2006,0.0,3.8812260536383545
BFA,2007,0.0,3.8812260536383545
BFA,2008,0.0,3.8812260536383545
BFA,2009,0.0,3.8812260536383545
BFA,2010,0.0,3.8812260536383545
BFA,2011,0.0,3.8812260536383545
BFA,2012,0.0,3.8812260536383545
BFA,2013,0.0,3.8812260536383545
BFA,2014,0.0,3.8812260536383545
BFA,2015,0.0,3.8812260536383545
BFA,2016,0.0,3.8812260536383545
BFA,2017,0.0,3.8812260536383545
BFA,2018,0.0,3.8812260536383545
BFA,2019,0.0,3.8812260536383545
BFA,2020,0.0,3.999999999999389
BFA,2021,0.0,3.999999999999389
BFA,2022,0.0,3.999999999999389
BGD,1989,0.0,1.999999999998
BGD,1990,0.0,1.999999999998
BGD,1991,0.0,1.999999999998
BGD,1992,0.0,1.999999999998
BGD,1993,0.0,1.999999999998
BGD,1994,0.0,1.999999999998
BGD,1995,0.0,1.999999999998
BGD,1996,0.0,1.999999999998
BGD,1997,0.0,1.999999999998
BGD,1998,0.0,1.999999999998
BGD,1999,0.0,1.999999999998
BGD,2000,0.0,1.999999999998
BGD,2001,0.0,1.999999999998
BGD,2002,0.0,1.999999999998
BGD,2003,0.0,1.999999999998
BGD,2004,0.0,1.999999999998
BGD,2005,0.0,1.999999999998
BGD,2006,0.0,2.5079365079345077
BGD,2007,0.0,2.5079365079345077
BGD,2008,0.0,2.5079365079345077
BGD,2009,0.0,2.5079365079345077
BGD,2010,0.0,2.5079365079345077
BGD,2011,0.0,2.881226053637847
BGD,2012,0.0,2.881226053637847
BGD,2013,0.0,2.941555677185861
BGD,2014,0.0,2.941555677185861
BGD,2015,0.0,2.941555677185861
BGD,2016,0.0,2.941555677185861
BGD,2017,0.0,2.941555677185861
BGD,2018,0.0,2.941555677185861
BGD,2019,0.0,2.941555677185861
BGD,2020,0.0,2.941555677185861
BGD,2021,0.0,2.941555677185861
BGD,2022,0.0,2.941555677185861
BGR,1989,0.0,0.0
BGR,1990,0.0,0.0
BGR,1991,0.0,0.0
BGR,1992,0.0,0.0
BGR,1993,4.8147696063472685,0.0
BGR,1994,4.8147696063472685,0.0
BGR,1995,5.579640756368841,0.0
BGR,1996,5.579640756368841,0.5079365079365079
BGR,1997,5.579640756368841,0.7578735197782817
BGR,1998,5.579640756368841,0.7578735197782817
BGR,1999,5.579640756368841,1.9871146982987886
BGR,2000,5.579640756368841,2.2516591095433447
BGR,2001,5.579640756368841,2.2516591095433447
BGR,2002,5.579640756368841,2.6381254914951358
BGR,2003,5.579640756368841,2.851975619821446
BGR,2004,5.579640756368841,5.25470317831671
BGR,2005,5.579640756368841,5.25470317831671
BGR,2006,5.579640756368841,5.25470317831671
BGR,2007,5.931423821198836,6.0
BGR,2008,5.999999999999932,6.0
BGR,2009,6.0,6.0
BGR,2010,6.0,6.0
BGR,2011,6.0,6.0
BGR,2012,6.0,6.0
BGR,2013,6.0,6.0
BGR,2014,6.0,6.0
BGR,2015,6.0,6.0
BGR,2016,6.0,6.0
BGR,2017,6.0,6.0
BGR,2018,6.0,6.0
BGR,2019,6.0,6.0
BGR,2020,6.0,6.0
BGR,2021,6.0,6.0
BGR,2022,6.0,6.0
BHR,1989,0.0,0.0
BHR,1990,0.0,0.0
BHR,1991,0.0,0.0
BHR,1992,0.0,0.0
BHR,1993,0.0,0.0
BHR,1994,0.0,0.0
BHR,1995,0.0,0.0
BHR,1996,0.0,0.0
BHR,1997,0.0,0.0
BHR,1998,0.0,0.5079365079365079
BHR,1999,0.0,0.5079365079365079
BHR,2000,0.0,0.5079365079365079
BHR,2001,0.0,0.5079365079365079
BHR,2002,0.0,0.5079365079365079
BHR,2003,0.0,2.9999999999975078
BHR,2004,0.0,2.9999999999975078
BHR,2005,0.0,2.9999999999975078
BHR,2006,4.999999999995,2.9999999999975078
BHR,2007,4.999999999995,2.9999999999975078
BHR,2008,4.999999999995,2.9999999999975078
BHR,2009,4.999999999995,4.75467775467614
BHR,2010,4.999999999995,4.75467775467614
BHR,2011,4.999999999995,4.75467775467614
BHR,2012,4.999999999995,4.75467775467614
BHR,2013,4.999999999995,5.999999999997755
BHR,2014,5.999999999999,5.999999999997755
BHR,2015,5.999999999999,5.999999999997755
BHR,2016,5.999999999999,5.999999999997755
BHR,2017,5.999999999999,5.999999999997755
BHR,2018,5.999999999999,5.999999999997755
BHR,2019,5.999999999999,5.999999999997755
BHR,2020,5.999999999999,5.999999999997755
BHR,2021,5.999999999999,5.999999999997755
BHR,2022,5.999999999999,5.999999999997755
BHS,1989,0.0,2.999999999997
BHS,1990,0.0,2.999999999997
BHS,1991,0.0,2.999999999997
BHS,1992,0.0,2.999999999997
BHS,1993,0.0,3.5079365079335076
BHS,1994,0.0,3.5079365079335076
BHS,1995,0.0,3.7578735197752815
BHS,1996,0.0,3.7578735197752815
BHS,1997,0.0,3.7578735197767985
BHS,1998,0.0,3.7578735197767985
BHS,1999,0.0,3.7578735197767985
BHS,2000,0.0,3.7578735197767985
BHS,2001,0.0,4.449311275510772
BHS,2002,0.0,4.449311275510772
BHS,2003,0.0,4.449311275510772
BHS,2004,0.0,4.449311275510772
BHS,2005,0.0,4.503376767636675
BHS,2006,0.0,4.507129474255121
BHS,2007,0.0,4.507129474255121
BHS,2008,5.999999999994,4.507129474255121
BHS,2009,5.999999999994,4.507129474255121
BHS,2010,5.999999999994,4.507129474255121
BHS,2011,5.999999999994,4.507129474255121
BHS,2012,5.999999999994,4.507129474255121
