ISO3,S_sd,S_jump,D_rise,D_1990,D_2020
PNG,-0.5147792203973989,0.4777392401072047,4.1863841863841875,0.5079365079365079,4.694320694320695
POL,-0.6049722641047849,0.4792354780464173,6.0,0.0,6.0
PRK,-0.0,,0.0,0.0,0.0
PRT,-0.0,,0.0,6.0,6.0
PRY,-1.0601081758164506,0.0,6.0,0.0,6.0
PSE,-0.4149348785060411,0.6802721088435374,4.666666666666666,0.0,4.666666666666666
PYF,-0.0,,0.0,4.0,4.0
QAT,-0.5661645474778622,0.5846560846560847,6.0,0.0,6.0
ROU,-0.8577323134869,0.20051085568326943,6.0,0.0,6.0
RUS,-0.47366919245616856,0.6666666666666667,6.0,0.0,6.0
RWA,-0.26402254983279244,0.1399999999999999,1.724137931034483,2.275862068965517,4.0
SAU,-0.5661645474778622,0.5846560846560847,6.0,0.0,6.0
SDN,-0.5531105870800727,0.25,4.0,0.0,4.0
SEN,-0.42766724028425973,0.5,4.0,0.0,4.0
SGP,-0.614496071794911,0.546242774566474,5.492063492063492,0.5079365079365079,6.0
SLB,-0.5553103392034404,0.44522968197879853,4.492063492063492,0.5079365079365079,5.0
SLE,-0.3743142866797759,0.33333333333333337,3.0,0.0,3.0
SLV,-0.7209547938981609,0.0,4.080459770114943,1.9195402298850572,6.0
SMR,-0.0,,0.0,0.0,0.0
SOM,-0.2858483981861383,0.3083154393499219,2.2413793103448274,0.7586206896551724,3.0
SPM,-0.0,,0.0,4.0,4.0
SRB,-0.6241836020733494,0.49022912792924034,6.0,0.0,6.0
SSD,-0.5300540879082253,0.0,3.0,0.0,3.0
STP,-0.18218737077385508,0.488372093023256,1.4827586206896552,1.5172413793103448,3.0
SUR,-0.6150608758391413,0.5,6.0,0.0,6.0
SVK,-0.6556949718355041,0.44249321469339786,6.0,0.0,6.0
SVN,-0.48876029652895564,0.7115650763403607,6.0,0.0,6.0
SWE,-0.0,,0.0,6.0,6.0
SWZ,-0.5061546235103787,0.48558139534883726,4.118773946360154,0.8812260536398467,5.0
SYC,-0.3988314044225431,0.3650036683785767,3.2413793103448274,0.7586206896551724,4.0
SYR,-0.45199600464713297,0.33684210526315794,3.7578735197782818,0.0,3.7578735197782818
TCA,-0.0,,0.0,4.0,4.0
TCD,-0.16023203883078901,0.488372093023256,1.4827586206896552,1.5172413793103448,3.0
TGO,-0.42766724028425973,0.5,4.0,0.0,4.0
THA,-0.5604581686078924,0.546242774566474,5.492063492063492,0.5079365079365079,6.0
TJK,-0.710988883863113,0.4702567313713212,6.118773946360153,0.0,3.7586206896551726
TKM,-0.5531105870800728,0.25,4.0,0.0,4.0
TON,-0.5553103392034404,0.44522968197879853,4.492063492063492,0.5079365079365079,5.0
TTO,-0.29729051514634536,0.5023764914183824,3.0,3.0,6.0
TUN,-0.5412830842964871,0.2926829268292681,4.241379310344827,0.7586206896551724,5.0
TUR,-0.5208892714874496,0.5930888575458393,5.058263971462544,0.9417360285374554,6.0
TUV,-0.5553103392034404,0.44522968197879853,4.492063492063492,0.5079365079365079,5.0
TWN,-0.8951249629362329,0.16666666666666663,6.0,0.0,6.0
TZA,-0.2912514307539697,0.4488149268784667,2.357907253269917,2.642092746730083,5.0
UGA,-0.2294272725305404,0.04290718038528851,1.357907253269917,2.642092746730083,4.0
UKR,-0.7259884397403578,0.33333333333333337,6.0,0.0,6.0
URY,-1.0601081758164506,0.0,6.0,0.0,6.0
USA,-0.03127162760520508,,0.17699115044247815,5.823008849557522,6.0
UZB,-0.5531105870800728,0.25,4.0,0.0,4.0
VCT,-0.2818881506030425,0.40111453475081427,2.492063492063492,3.507936507936508,6.0
VEN,-0.8478062132785649,0.3825579683306314,6.635624772860736,1.0,6.0
VNM,-0.5779541398884945,0.5,6.0,0.0,6.0
VUT,-0.6271684546846317,0.4,5.0,0.0,5.0
WLF,-0.0,,0.0,4.0,4.0
WSM,-0.5553103392034404,0.44522968197879853,4.492063492063492,0.5079365079365079,5.0
XKX,-0.8269061327040438,0.25396825396825395,6.0,0.0,6.0
YEM,-0.0897446074765249,0.0,0.5079365079365079,0.0,0.5079365079365079
YUG,-0.0,,0.0,0.0,0.0
ZAF,-0.7936788723705172,0.0,4.492063492063492,0.5079365079365079,5.0
ZMB,-0.5218911412479492,0.4715447154471545,4.241379310344827,0.7586206896551724,5.0
ZWE,-0.45591033579074364,0.4715447154471545,4.241379310344827,0.7586206896551724,5.0
