ISO3,country,conv,conv_2019,rel_1995,rel_2020,conv_pp,pop_1995,region,inc_1995,D_desta_bb_mean,D_desta_max_mean,D_desta_bb_2020,D_desta_bb_1995,n_pta_desta_mean,D_wb_bb_le_mean,D_wb_bb_le_2020,D_wb_all_le_2020,n_pta_wb_2020
ETH,Ethiopia,84.1536536970916,78.40602170881046,0.5661645822892244,1.3134619211734568,0.7472973388842324,57.53733,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,7.769230769230769,5.153846153846154,7.0,14.0,4.0
GAB,Gabon,-62.020104204199725,-60.35139414867087,20.42986564358394,10.987921611851384,-9.441944031732557,1.123213,Sub-Saharan Africa,UM,4.0,3.0,4.0,4.0,11.615384615384615,1.0769230769230769,4.0,8.0,2.0
GEO,Georgia,115.44369509186652,119.43397158386662,2.4710217769917753,7.8386668234523835,5.367645046460608,4.657722,Europe & Central Asia,L,3.3461538461538463,3.576923076923077,6.0,1.0,9.115384615384615,8.23076923076923,11.0,25.0,13.0
GHA,Ghana,39.108218843748496,38.01201953536217,2.2401860962135567,3.312295112440762,1.0721090162272051,17.39902,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,10.76923076923077,2.3846153846153846,4.0,13.0,4.0
GIN,Guinea,15.854328186257,11.233060807347128,1.75764719775567,2.05961591872982,0.3019687209741502,7.553249,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,9.576923076923077,2.1538461538461537,4.0,11.0,3.0
GMB,Gambia,-25.986458710873215,-26.782950672217353,1.4632382450137198,1.1283846243005413,-0.3348536207131785,1.264313,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,7.769230769230769,2.0,2.0,8.0,1.0
GNB,Guinea-Bissau,-15.00225271507121,-18.13909081990283,1.261832514367899,1.0860445739104192,-0.1757879404574798,1.119949,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,7.730769230769231,2.1538461538461537,4.0,11.0,2.0
GRC,Greece,-25.76206722512605,-18.905038770218358,38.036407958078186,29.3978940582755,-8.638513899802685,10.56216,Europe & Central Asia,UM,6.0,7.0,6.0,6.0,45.80769230769231,12.0,12.0,47.0,49.0
GTM,Guatemala,-5.2318756527335974,-4.534233503630325,7.100775952947411,6.738825106372885,-0.36195084657452625,10.313,Latin America & Caribbean,LM,4.846153846153846,5.846153846153846,6.0,1.0,16.153846153846153,9.192307692307692,12.0,27.0,10.0
HND,Honduras,42.984597437106814,51.55646438475057,2.3963043824731796,3.68317071861859,1.2868663361454105,5.739637,Latin America & Caribbean,L,4.846153846153846,5.846153846153846,6.0,1.0,14.307692307692308,9.23076923076923,12.0,28.0,13.0
HRV,Croatia,26.208982041291623,31.41615376561661,17.339512057897878,22.535171225312347,5.195659167414469,4.62003,Europe & Central Asia,UM,4.653846153846154,5.1923076923076925,6.0,0.0,18.23076923076923,6.0,12.0,47.0,49.0
HTI,Haiti,-33.29912264120766,-31.272058086907517,2.9896486801503133,2.1429091724523457,-0.8467395076979676,7.562546,Latin America & Caribbean,L,4.6923076923076925,5.0,6.0,3.0,4.1923076923076925,6.653846153846154,11.0,22.0,2.0
HUN,Hungary,27.99410928821258,29.639305941326892,18.479835016388908,24.44979063555244,5.969955619163532,10.32897,Europe & Central Asia,UM,5.884615384615385,6.653846153846154,6.0,5.0,30.346153846153847,7.846153846153846,12.0,47.0,49.0
IDN,Indonesia,28.60202700553533,29.31194618186341,4.794077718187562,6.3903907177471835,1.596312999559622,190.0674,East Asia & Pacific,LM,4.038461538461538,3.9615384615384617,6.0,2.0,7.3076923076923075,7.461538461538462,12.0,32.0,12.0
IND,India,71.30322511602616,75.7387080617778,1.5808497942505362,3.225199973285867,1.6443501790353308,919.0,South Asia,L,3.076923076923077,3.6923076923076925,5.0,1.0,14.884615384615385,7.346153846153846,11.0,23.0,18.0
IRN,Iran,3.371076663232786,-3.2317136929518373,8.541022199435846,8.798417473600027,0.25739527416418184,62.20557,"Middle East, North Africa, Afghanistan & Pakistan",LM,0.5769230769230769,0.5769230769230769,1.0,0.0,5.461538461538462,0.23076923076923078,3.0,11.0,3.0
IRQ,Iraq,40.946933959942875,53.416080732702255,4.707114246158159,7.089000623946595,2.381886377788436,20.82586,"Middle East, North Africa, Afghanistan & Pakistan",LM,0.8846153846153846,1.8846153846153846,1.0,0.0,5.538461538461538,0.0,0.0,3.0,2.0
JAM,Jamaica,-39.1756585138,-32.81729077923162,13.236214401886405,8.945940721877108,-4.290273680009298,2.500151,Latin America & Caribbean,LM,5.269230769230769,5.346153846153846,6.0,4.0,12.923076923076923,8.0,11.0,22.0,2.0
JOR,Jordan,-21.354886737467243,-21.025985077853836,7.928723124396337,6.404127972809453,-1.524595151586884,4.752096,"Middle East, North Africa, Afghanistan & Pakistan",LM,4.0,3.3846153846153846,5.0,0.0,20.153846153846153,6.346153846153846,9.0,19.0,7.0
KAZ,Kazakhstan,74.63703451904749,75.9469512004719,8.797796186098132,18.557457002946798,9.759660816848665,16.05585,Europe & Central Asia,LM,1.7692307692307692,2.6538461538461537,2.0,1.0,14.26923076923077,9.153846153846153,12.0,29.0,12.0
KEN,Kenya,-9.302282983584847,-9.642560178127319,2.9712315588762217,2.707307476138543,-0.26392408273767876,26.60175,Sub-Saharan Africa,L,4.0,3.8076923076923075,4.0,4.0,11.576923076923077,5.884615384615385,7.0,16.0,6.0
KGZ,Kyrgyzstan,26.116575944776084,33.00693351614933,1.4321334001563044,1.8595442212266666,0.4274108210703622,4.538422,Europe & Central Asia,L,1.8846153846153846,2.0,2.0,1.0,9.576923076923077,8.384615384615385,12.0,29.0,10.0
KHM,Cambodia,97.64955244289244,100.04544263174684,1.243316742802609,3.3011737564259853,2.0578570136233765,10.01802,East Asia & Pacific,L,2.5,3.0384615384615383,5.0,0.0,3.0,6.230769230769231,10.0,25.0,6.0
LAO,Laos,81.24963699794878,79.62662470668374,1.9195954521975733,4.3236454227065755,2.404049970509002,4.618043,East Asia & Pacific,L,3.1538461538461537,3.6923076923076925,5.0,1.0,6.1923076923076925,6.923076923076923,10.0,26.0,10.0
LBN,Lebanon,-20.51798596564381,-0.2607849595168632,13.29298032370737,10.827145596567133,-2.465834727140237,3.960735,"Middle East, North Africa, Afghanistan & Pakistan",LM,3.3846153846153846,3.1923076923076925,5.0,0.0,9.346153846153847,4.384615384615385,7.0,13.0,3.0
LBR,Liberia,67.4118192762901,69.93910700395536,0.00570665291803241,0.011198179334262945,0.0054915264162305345,2.169162,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,8.76923076923077,2.1538461538461537,4.0,11.0,2.0
LBY,Libya,-92.98698113350794,-59.32153593763082,26.016986091989118,10.266434785300296,-15.750551306688822,4.906843,"Middle East, North Africa, Afghanistan & Pakistan",UM,2.8846153846153846,2.0,3.0,2.0,7.384615384615385,3.230769230769231,7.0,14.0,5.0
LKA,Sri Lanka,56.997313055015496,59.68784455951548,4.02372935544636,7.114838304634986,3.0911089491886266,17.62501,South Asia,L,2.076923076923077,2.6923076923076925,6.0,1.0,6.3076923076923075,2.8076923076923075,3.0,9.0,8.0
LSO,Lesotho,3.1355954589625314,10.252335534958762,1.5403815726056542,1.5894471772598802,0.049065604654225936,1.951437,Sub-Saharan Africa,LM,4.5,3.5,5.0,4.0,10.807692307692308,5.0,7.0,16.0,7.0
LTU,Lithuania,91.49189914546612,88.90043062499815,11.811216946151823,29.48754117097062,17.676324224818796,3.6291,Europe & Central Asia,LM,5.769230769230769,6.538461538461538,6.0,4.0,37.53846153846154,7.846153846153846,12.0,47.0,49.0
LVA,Latvia,80.63782481500195,80.94697331419758,11.181734478540802,25.044634303201036,13.862899824660234,2.485056,Europe & Central Asia,LM,5.769230769230769,6.423076923076923,6.0,4.0,36.69230769230769,7.846153846153846,12.0,47.0,49.0
MAR,Morocco,24.61760030303612,30.51674584939075,4.128461881143441,5.280818865561125,1.1523569844176844,26.39943,"Middle East, North Africa, Afghanistan & Pakistan",LM,4.961538461538462,4.6923076923076925,6.0,1.0,20.03846153846154,8.538461538461538,12.0,23.0,9.0
MDA,Moldova,39.08347974048317,44.04863612504723,3.6290777853945726,5.364554551083967,1.7354767656893944,2.9532,Europe & Central Asia,LM,3.230769230769231,3.8846153846153846,6.0,1.0,17.846153846153847,8.846153846153847,11.0,21.0,8.0
MDG,Madagascar,-42.75290396200555,-35.35533023294736,1.0910045335929444,0.7114643163612793,-0.3795402172316651,14.05128,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,10.346153846153847,5.384615384615385,8.0,16.0,6.0
MEX,Mexico,-16.581268467720967,-9.300427088527346,18.356478947883843,15.551704884867636,-2.8047740630162075,94.49,Latin America & Caribbean,UM,6.0,7.0,6.0,6.0,29.5,12.0,12.0,32.0,24.0
MKD,Macedonia,33.624254896727976,34.77151398878252,6.899440549638139,9.656997597242052,2.757557047603913,1.998534,Europe & Central Asia,LM,4.538461538461538,4.884615384615385,6.0,0.0,10.807692307692308,8.192307692307692,11.0,19.0,5.0
MLI,Mali,-3.139100148855123,-1.5209794529629006,1.5137678362606788,1.4669871016831082,-0.04678073457757059,10.18536,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,13.76923076923077,2.9615384615384617,5.0,14.0,3.0
MMR,Myanmar,146.25726466827393,153.87747066149637,0.5320692654657734,2.2969696449728727,1.7649003795070994,42.60534,East Asia & Pacific,L,2.5,3.0384615384615383,5.0,0.0,3.0,6.346153846153846,10.0,26.0,8.0
MNG,Mongolia,64.22522956268261,68.12012531026372,3.5986138073923875,6.840093203389599,3.2414793959972115,2.224945,East Asia & Pacific,L,1.0769230769230769,1.2692307692307692,5.0,0.0,0.5,1.3461538461538463,7.0,12.0,1.0
MOZ,Mozambique,67.07418992875238,68.69072428894381,0.509060225162689,0.9955623922203329,0.48650216705764393,15.96053,Sub-Saharan Africa,L,4.1923076923076925,3.1923076923076925,5.0,4.0,8.23076923076923,3.576923076923077,6.0,15.0,5.0
MRT,Mauritania,-26.475829673561407,-25.769001704098464,3.405105620618343,2.6130493156690333,-0.7920563049493099,2.312017,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,13.846153846153847,0.3076923076923077,4.0,8.0,1.0
MUS,Mauritius,36.33868929173735,49.485413322023426,10.932672496394824,15.723284310880508,4.790611814485684,1.122457,Sub-Saharan Africa,UM,4.0,3.0,4.0,4.0,9.76923076923077,7.961538461538462,9.0,17.0,9.0
MWI,Malawi,1.753844588340342,1.0237265296423381,0.8241108512440019,0.8386920572052542,0.014581205961252341,10.15012,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,9.346153846153847,7.423076923076923,8.0,16.0,6.0
MYS,Malaysia,27.74152509651962,30.544800716154967,13.522557073153871,17.845915639526755,4.3233585663728835,20.79716,East Asia & Pacific,UM,4.3076923076923075,4.3076923076923075,6.0,2.0,9.26923076923077,6.923076923076923,10.0,30.0,15.0
NAM,Namibia,-10.39664276977581,-1.6134161297081506,7.069606301329355,6.371524281851599,-0.6980820194777557,1.60217,Sub-Saharan Africa,LM,2.5,3.5,3.0,2.0,6.730769230769231,4.615384615384615,7.0,16.0,8.0
NER,Niger,-12.2799013876485,-15.04458045134677,1.0119518068124866,0.8950119431352332,-0.1169398636772534,9.714529,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,13.76923076923077,2.9615384615384617,5.0,14.0,3.0
NGA,Nigeria,11.302347782290518,17.437989801115123,4.106797221086104,4.5982071586811095,0.4914099375950052,110.8194,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,9.115384615384615,2.1538461538461537,4.0,11.0,3.0
NIC,Nicaragua,10.160364756732953,11.097744561047683,2.963752378648141,3.2807108650988432,0.31695848645070246,4.642931,Latin America & Caribbean,L,5.3076923076923075,6.3076923076923075,6.0,1.0,16.53846153846154,8.884615384615385,12.0,28.0,11.0
NPL,Nepal,24.568580588538396,25.307140390614997,1.2961116903715395,1.6570753172008903,0.3609636268293508,19.06783,South Asia,L,0.46153846153846156,0.5769230769230769,1.0,0.0,3.0384615384615383,0.0,0.0,3.0,4.0
OMN,Oman,-39.168118688958195,-39.81395890604466,44.16160693883586,29.849679169654767,-14.311927769181093,2.120528,"Middle East, North Africa, Afghanistan & Pakistan",UM,3.0,3.730769230769231,6.0,0.0,4.653846153846154,5.884615384615385,12.0,30.0,5.0
PAK,Pakistan,0.15224595685942588,0.8404247680876109,2.69742539541725,2.701533993481953,0.004108598064703095,121.6183,"Middle East, North Africa, Afghanistan & Pakistan",L,2.3076923076923075,2.8461538461538463,4.0,0.0,9.192307692307692,5.269230769230769,10.0,17.0,11.0
