D口径,控制,FE,样本,时期,b_D,b_D2,se_D2,p_D2,拐点,N,国家数,支持
D_loose,+能力、hc,区域×年份,全部国家,1990–2023,0.010001517338468989,-0.0010913032176856038,0.0005116170356231916,0.03298258546505917,4.5823732471346705,4319,145,True
D_loose,+能力、hc,区域×年份,全部国家,1995–2019,0.004692119215187943,-0.0005703674653154361,0.0005981689554040186,0.34040271210037165,4.113242339824741,3311,143,False
D_loose,+能力、hc、Geo,年份,发展中国家,1990–2023,0.014904582860373881,-0.0019474420528189532,0.0007332159469347507,0.00794540219844686,3.8267076647541995,3405,117,True
D_loose,+能力、hc、Geo,年份,发展中国家,1995–2019,0.007851988877752101,-0.0008157091655461354,0.000699564528391889,0.2437171491118053,4.81298311297938,2623,115,False
D_loose,+能力、hc、Geo,年份,剔除中东欧入盟国,1990–2023,0.01584501475664093,-0.0020803127407148093,0.0007677534244453948,0.006775031362225459,3.8083251730690453,3112,107,True
D_loose,+能力、hc、Geo,年份,剔除中东欧入盟国,1995–2019,0.008848661206681738,-0.0009009453790939594,0.0007600407233403607,0.2359882050361406,4.91076452136335,2389,105,False
D_loose,+能力、hc、Geo,年份,全部国家,1990–2023,0.014904582860373881,-0.0019474420528189532,0.0007332159469347507,0.00794540219844686,3.8267076647541995,3405,117,True
D_loose,+能力、hc、Geo,年份,全部国家,1995–2019,0.007851988877752101,-0.0008157091655461354,0.000699564528391889,0.2437171491118053,4.81298311297938,2623,115,False
D_loose,+能力、hc、Geo,区域×年份,发展中国家,1990–2023,0.008065734374744008,-0.001060084742312902,0.0006765706291638773,0.11725249942280436,3.804287550232125,3405,117,False
D_loose,+能力、hc、Geo,区域×年份,发展中国家,1995–2019,0.005372356920451903,-0.0006846394790197772,0.0006543619671323426,0.2955440019278681,3.9234933750414878,2623,115,False
D_loose,+能力、hc、Geo,区域×年份,剔除中东欧入盟国,1990–2023,0.009247129959423648,-0.001189812351073741,0.0007041406084779458,0.09118978642805242,3.8859614926163,3112,107,False
D_loose,+能力、hc、Geo,区域×年份,剔除中东欧入盟国,1995–2019,0.006495171642814233,-0.000756550732787714,0.0007136867471236969,0.2892379142082744,4.292621341387796,2389,105,False
D_loose,+能力、hc、Geo,区域×年份,全部国家,1990–2023,0.008065734374744008,-0.001060084742312902,0.0006765706291638773,0.11725249942280436,3.804287550232125,3405,117,False
D_loose,+能力、hc、Geo,区域×年份,全部国家,1995–2019,0.005372356920451903,-0.0006846394790197772,0.0006543619671323426,0.2955440019278681,3.9234933750414878,2623,115,False
D_wbonly,Aizenman六项,年份,发展中国家,1990–2023,0.010797236452505844,-0.0015481536309695924,0.0007455558362960999,0.03791797014081988,3.4871333944240557,3744,119,True
D_wbonly,Aizenman六项,年份,发展中国家,1995–2019,0.003427035291739451,-0.0005015499266935876,0.0007113295846539256,0.48081748777577626,3.4164448137115695,2799,118,False
D_wbonly,Aizenman六项,年份,剔除中东欧入盟国,1990–2023,0.01237943224464036,-0.0016260961023993534,0.0007707114397892877,0.03494548708748324,3.8064885053147033,3437,109,True
D_wbonly,Aizenman六项,年份,剔除中东欧入盟国,1995–2019,0.004993308269813138,-0.0005726046377087909,0.0007604669278694966,0.45154430599766426,4.36017099843381,2565,108,False
D_wbonly,Aizenman六项,年份,全部国家,1990–2023,0.010195885688419433,-0.001325655146353285,0.0006310963958806791,0.035735458397958775,3.8456025748729092,4669,148,True
D_wbonly,Aizenman六项,年份,全部国家,1995–2019,0.001843014448833063,-0.00019352204839192313,0.0005911475227057057,0.7434112385503813,4.761768656718041,3484,147,False
D_wbonly,Aizenman六项,区域×年份,发展中国家,1990–2023,0.004608748619321511,-0.0005041902903605213,0.0006330830362250339,0.4258522366609747,4.5704456307816095,3744,119,False
D_wbonly,Aizenman六项,区域×年份,发展中国家,1995–2019,0.0030867510997726667,-0.00039978656880464136,0.00068777817320104,0.5611086842388522,3.860498751874066,2799,118,False
D_wbonly,Aizenman六项,区域×年份,剔除中东欧入盟国,1990–2023,0.006071484947882462,-0.000615032810064112,0.0006733460145385363,0.3611039735729653,4.935903295345789,3437,109,False
D_wbonly,Aizenman六项,区域×年份,剔除中东欧入盟国,1995–2019,0.004502582114769523,-0.0005023023129542974,0.0007430007877323586,0.4990797499550954,4.481944437292682,2565,108,False
D_wbonly,Aizenman六项,区域×年份,全部国家,1990–2023,0.005808623751652758,-0.000497872719370298,0.000516397700773087,0.33503701737675784,5.833442490080013,4669,148,False
D_wbonly,Aizenman六项,区域×年份,全部国家,1995–2019,0.0013305031011444635,-9.995155588354599e-05,0.0005734208728864781,0.8616349928907119,6.655739820071629,3484,147,False
D_wbonly,+能力、hc,年份,发展中国家,1990–2023,0.01045038314518191,-0.001538137790949559,0.0007151187819327689,0.03155759770825162,3.3970893916891662,3465,117,True
